,ID,Canomicalsmiles,pChEMBL
106,925,Cc1n[nH]c([C@H]2CC[C@@H](n3c(=NC(=O)c4cccc(F)c4)[nH]c4ccc(CO)cc43)CC2)n1,0
107,1354,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(N3CCOCC3)c(OC)cc2OC)ncc1Br,0
108,1225,COc1cc(Nc2ncc3ccn(-c4cccc(CC(=O)NC5CCC(N)CC5)c4)c3n2)cc(OC)c1OC,0
109,938,CN1Cc2c(N3CCN(C(=O)OC(C)(C)C)CC3)ccc(Nc3nc(Cl)ncc3Cl)c2C1=O,0
110,197,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCN(C(C)=O)CC3)cc2OC)ncc1Br,1
111,395,CCOc1cc2c(=O)c3c4ccc(C#N)cc4[nH]c3n(C3CCCC3)c2cc1N1CCN(C)CC1,1
112,1420,CC(C)Oc1cccc(Nc2ccnc(Nc3cccc(OCCN4CCCCC4)c3)n2)c1S(N)(=O)=O,0
113,527,CC(C)(C)CCNC(=O)c1csc(CNC(=O)COc2ccc(OC(F)(F)F)cc2)n1,0
114,1192,COc1cc(Nc2nccc(Nc3cc(C)ccc3S(N)(=O)=O)n2)cc(OC)c1OC,0
115,1318,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(OCCN3CCC(O)CC3)ccc2OC)ncc1Br,0
116,388,CC(Oc1cc(-c2ccc(N3CCNCC3)nc2)cnc1N)c1c(F)ccc(F)c1Cl,1
117,1424,COc1cccc(Nc2ccnc(Nc3cccc(OCCN4CCN(Cc5ccccc5)CC4)c3)n2)c1S(N)(=O)=O,0
118,1146,Oc1cccc(Nc2ccnc(Nc3ccc4[nH]ncc4c3)n2)c1,0
119,1537,O=C(COc1ccc(OC(F)(F)F)cc1)NCc1nc(C(=O)NCC(c2ccccc2)c2ccccc2)co1,0
120,852,O=C(O)c1ccccc1Nc1ccnc(Nc2cccc(O)c2)n1,0
121,403,CC(Oc1cc(-c2ccc(C3CO[C@@H]4[C@H](O)CO[C@H]34)nc2)cnc1N)c1c(F)ccc(F)c1Cl,1
122,1173,Oc1cccc(Nc2ccnc(Nc3cccc(OCCN4CCOCC4)c3)n2)c1,0
123,905,N#C[C@]1(c2ccccn2)C[C@@H](n2c(=NC(=O)c3ccc(F)cc3)[nH]c3cnc(OCCN4CCCCC4)cc32)C1,0
124,901,CC(C)(O)C1CCN(Cc2ccc3[nH]c(=NC(=O)c4ccc(F)cc4)n([C@H]4CC[C@@H](C(=O)O)CC4)c3c2)CC1,0
125,241,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCN(C)CC3)cc2OC)ncc1Cl,1
126,847,COc1c(C)ccc(Nc2ccnc(Nc3cccc(OCCCN4CCCC4)c3)n2)c1S(N)(=O)=O,0
127,1331,COc1cc(N2CCCC(C)(C(N)=O)C2)ccc1Nc1ncc(Cl)c(Nc2cccc3c2C(=O)N(C)C3)n1,0
128,818,C=C(Cl)COc1cccc(Nc2ccnc(Nc3ccc4cnn(C)c4c3)n2)c1S(N)(=O)=O,0
129,476,CNC(=O)[C@H]1CC[C@H](n2/c(=N/C(=O)c3ccc(F)cc3)[nH]c3cnc(OCCN4CCCCC4)cc32)CC1,1
130,1001,FC(F)(F)c1ccc(Nc2ncc3ccn(-c4ccccn4)c3n2)cc1,0
131,274,COc1cc(Nc2ncc3ccn(-c4cccc(CC#N)c4)c3n2)cc(OC)c1OC,1
132,210,COCCOc1ccc(Nc2ncc(Cl)c(Nc3ccc(N4CCN(C(C)C)CC4)c4c3C(=O)N(C)CC4)n2)c(OC)c1,1
133,1027,Cc1cnc(Nc2cccc(OCCN3CCCCC3)c2)nc1Nc1ccc2c(c1S(N)(=O)=O)OCCO2,0
134,1485,Cc1ccc(Nc2ccnc(Nc3cccc(OCCN4CCCC4)c3)n2)c(S(N)(=O)=O)c1,0
135,1115,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cccc(N(C)C)c2)ncc1Br,0
136,1517,O=C(COc1ccc(OC(F)(F)F)cc1)NCc1nc(C(=O)NCCCN2CCCC2=O)cs1,0
137,965,COC(=O)c1cc2cnc(Nc3cc(OC)c(OC)c(OC)c3)nc2n1-c1ccccn1,0
138,362,COc1cc2c(cc1Nc1ncc(Cl)c(N[C@H]3[C@@H](C(N)=O)[C@@H]4C=C[C@H]3C4)n1)CCC(N1CCOCC1)CC2,1
139,1074,O=C(c1cccc(Nc2ncc3ccn(-c4ccccn4)c3n2)c1)N1CCNCC1,0
